WAVELENGTH	THROUGHPUT
1989.95361328125	0.0
1990.0	1.3298049501266424e-08
1990.04638671875	1.3304728494681886e-08
2000.0	9.05243983210476e-09
2000.0482177734375	9.03018171850488e-09
2010.0	1.0711558251405968e-08
2010.0499267578125	1.0720083897623353e-08
2020.0	9.491257229491917e-09
2020.0517578125	9.484736775788715e-09
2030.0	1.243029466148892e-08
2030.053466796875	1.2446343145115934e-08
2040.0	1.1496882066349693e-08
2040.0552978515625	1.149153322842829e-08
2050.0	1.025592668124052e-08
2050.05712890625	1.024886122197519e-08
2060.0	1.0727103372936122e-08
2060.05908203125	1.0729968173527179e-08
2070.0	9.02851245054684e-09
2070.060791015625	9.017909499460836e-09
2080.0	1.215999387977476e-08
2080.062744140625	1.2180115356593624e-08
2090.0	1.0214538345314803e-08
2090.064697265625	1.0201566509381423e-08
2100.0	1.1360320065350858e-08
2100.066650390625	1.1369795588965983e-08
2110.0	1.0043139328497035e-08
2110.068603515625	1.0033606319222932e-08
2120.0	1.4392432605429683e-08
2120.070556640625	1.442424315004071e-08
2130.0	1.0284573967829393e-08
2130.072509765625	1.0253392870860725e-08
2140.0	1.5263240271889552e-08
2140.07470703125	1.530205599923962e-08
2150.0	8.525089125007975e-09
2150.07666015625	8.471033768596628e-09
2160.0	1.2574056218619297e-08
2160.07861328125	1.2607395953442361e-08
2170.0	1.5616773821136388e-08
2170.080810546875	1.5642030341168432e-08
2180.0	1.3932117232003293e-08
2180.082763671875	1.3917326863574349e-08
2190.0	1.4782394147845918e-08
2190.084716796875	1.4789901373316684e-08
2200.0	1.2243147341052272e-08
2200.0869140625	1.2220328061490588e-08
2210.0	1.4523039874351047e-08
2210.089111328125	1.4544380149537004e-08
2220.0	1.4881710320090388e-08
2220.091064453125	1.4884780236482722e-08
2230.0	1.4323970616320486e-08
2230.09326171875	1.431771046563601e-08
2240.0	1.809354861249751e-08
2240.095458984375	1.8130527598048387e-08
2250.0	1.6585985454913102e-08
2250.097412109375	1.6570485199201977e-08
2260.0	1.960220462120786e-08
2260.099609375	1.963326808758526e-08
2270.0	1.569545897009891e-08
2270.101806640625	1.565394370460329e-08
2280.0	1.6253926495360614e-08
2280.10400390625	1.6260102929110927e-08
2290.0	1.8406013148587334e-08
2290.106201171875	1.8429583668286883e-08
2300.0	1.6289507334547846e-08
2300.1083984375	1.6264461750577696e-08
2310.0	1.9788712926412954e-08
2310.110595703125	1.9828612881642618e-08
2320.0	1.4513585176052915e-08
2320.11279296875	1.4451880765868608e-08
2330.0	2.2793136114587532e-08
2330.114990234375	2.289158102422881e-08
2340.0	1.7294324006604068e-08
2340.1171875	1.7226988826600745e-08
2350.0	1.9219639485817514e-08
2350.119384765625	1.9243968029057114e-08
2360.0	2.5414757270138178e-08
2360.12158203125	2.549131972109773e-08
2370.0	1.476783413007635e-08
2370.123779296875	1.4631964820182021e-08
2380.0	2.3830659465792428e-08
2380.126220703125	2.3949649091330788e-08
2390.0	2.5561581007163572e-08
2390.12841796875	2.5582427826187636e-08
2400.0	1.8759671671178817e-08
2400.130615234375	1.8665414479105507e-08
2410.0	3.032097612206587e-08
2410.1328125	3.0477680350955205e-08
2420.0	2.7632327875873288e-08
2420.13525390625	2.759332504880091e-08
2430.0	2.245216399454764e-08
2430.137451171875	2.2379850191770894e-08
2440.0	1.7941806573135517e-08
2440.139892578125	1.787928009655306e-08
2450.0	2.0895860616540376e-08
2450.14208984375	2.0939211174984474e-08
2460.0	2.0613732168982824e-08
2460.144287109375	2.060869429380993e-08
2470.0	2.7359460261123692e-08
2470.146728515625	2.7459979639567185e-08
2480.0	2.8732250447362336e-08
2480.14892578125	2.875142609219629e-08
2490.0	1.779706542790063e-08
2490.1513671875	1.7628931843840275e-08
2500.0	2.0843323420126893e-08
2500.153564453125	2.089246279639166e-08
2510.0	2.1271602647782484e-08
2510.156005859375	2.1277566286285213e-08
2520.0	2.4914284221156003e-08
2520.158203125	2.497200371433781e-08
2530.0	2.083419462173964e-08
2530.16064453125	2.0767425302022825e-08
2540.0	1.6702735725238155e-08
2540.1630859375	1.663576919706915e-08
2550.0	1.7466058570399826e-08
2550.165283203125	1.7479648011180906e-08
2560.0	3.15322731608528e-08
2560.167724609375	3.17706939893198e-08
2570.0	2.048458476375391e-08
2570.169921875	2.0290745799672312e-08
2580.0	2.1650788886871982e-08
2580.17236328125	2.1674131438841336e-08
2590.0	2.2484910747517045e-08
2590.1748046875	2.2499572582768007e-08
2600.0	1.914770780728664e-08
2600.177001953125	1.908606692395272e-08
2610.0	1.9983588930871077e-08
2610.179443359375	1.999942179541805e-08
2620.0	1.8065360259373534e-08
2620.181884765625	1.8030234005399873e-08
2630.0	2.408819241402389e-08
2630.184326171875	2.420074575148467e-08
2640.0	1.5667099541393575e-08
2640.1865234375	1.5506467735674892e-08
2650.0	1.1571552885080721e-08
2650.18896484375	1.1496886673260014e-08
2660.0	1.7364735435671726e-08
2660.19140625	1.7477823229304567e-08
2670.0	1.8838972057968237e-08
2670.19384765625	1.8865160227279912e-08
2680.0	1.6603046997360574e-08
2680.1962890625	1.655859238158735e-08
2690.0	2.539790052573166e-08
2690.198486328125	2.557457891854408e-08
2700.0	1.828736530426648e-08
2700.200927734375	1.814393479763103e-08
2710.0	2.1404232951097194e-08
2710.20361328125	2.1472293865119466e-08
2720.0	2.0331884885737872e-08
2720.205810546875	2.030793504395517e-08
2730.0	1.7331597785276655e-08
2730.208251953125	1.726800791023532e-08
2740.0	1.6664057866407795e-08
2740.210693359375	1.665139964797286e-08
2750.0	1.8508932412771846e-08
2750.213134765625	1.8549003385500027e-08
2760.0	1.8328476985857432e-08
2760.215576171875	1.8323985857959978e-08
2770.0	1.6161147947753614e-08
2770.218017578125	1.6112971758532143e-08
2780.0	1.828932628446374e-08
2780.220458984375	1.8337991100577717e-08
2790.0	1.3329684484524228e-08
2790.222900390625	1.3215943487525889e-08
2800.0	1.2874281495832645e-08
2800.225341796875	1.2867876975207718e-08
2810.0	2.199053375573792e-08
2810.227783203125	2.2203663786974764e-08
2820.0	1.3850351828932005e-08
2820.230224609375	1.3653087751143632e-08
2830.0	2.7210725804117933e-08
2830.232666015625	2.7533857766448265e-08
2840.0	1.6553722617552814e-08
2840.235107421875	1.628904188988472e-08
2850.0	1.8482573178245216e-08
2850.237548828125	1.8536125859159043e-08
2860.0	1.4918165215210218e-08
2860.239990234375	1.482857546784041e-08
2870.0	1.5679668740126463e-08
2870.242431640625	1.5701207707402053e-08
2880.0	1.7693623860940337e-08
2880.244873046875	1.7743408479575496e-08
2890.0	1.7980203378581655e-08
2890.247314453125	1.7986622271843726e-08
2900.0	1.7769653725785867e-08
2900.25	1.776589245196585e-08
2910.0	1.8430580880051403e-08
2910.252197265625	1.8447464385251994e-08
2920.0	1.6055855432566083e-08
2920.2548828125	1.5993244474205454e-08
2930.0	2.177191725523802e-08
2930.25732421875	2.1925133020006808e-08
2940.0	1.7345815664202728e-08
2940.259765625	1.7223284479482504e-08
2950.0	1.823907571671192e-08
2950.26220703125	1.826660200024364e-08
2960.0	2.3110634713354558e-08
2960.2646484375	2.324268657847643e-08
2970.0	1.7230345313562158e-08
2970.26708984375	1.7064701568859428e-08
2980.0	1.9638208977318467e-08
2980.269775390625	1.9709564828682434e-08
2990.0	2.4800903215942408e-08
2990.272216796875	2.494484146426263e-08
3000.0	2.808667221303123e-08
3000.274658203125	2.8170254053384918e-08
3010.0	3.059056056446568e-08
3010.277099609375	3.066026765551494e-08
3020.0	2.6729869429481623e-08
3020.27978515625	2.6616675392836287e-08
3030.0	2.588535828388422e-08
3030.2822265625	2.5863412862904224e-08
3040.0	1.9752225318553646e-08
3040.28466796875	1.9573739529534813e-08
3050.0	2.2071193497353925e-08
3050.287109375	2.2144476809368353e-08
3060.0	2.3629298532625337e-08
3060.289794921875	2.3674200938850222e-08
3070.0	2.4322683031926836e-08
3070.292236328125	2.4341572652736304e-08
3080.0	2.3872359151776425e-08
3080.294677734375	2.3858743057450168e-08
3090.0	3.297620270675827e-08
3090.297119140625	3.3254616457741924e-08
3100.0	2.845187087704895e-08
3100.2998046875	2.8304263783987657e-08
3110.0	3.206549580923609e-08
3110.30224609375	3.218276136896978e-08
3120.0	3.2400866732257684e-08
3120.3046875	3.240683938020592e-08
3130.0	3.459048796466291e-08
3130.30712890625	3.466058835607743e-08
3140.0	3.382471646981712e-08
3140.309814453125	3.379704923725276e-08
3150.0	3.358017857907903e-08
3150.312255859375	3.357412181294305e-08
3160.0	2.9073507684293954e-08
3160.314697265625	2.8926404150355915e-08
3170.0	3.0173939427751526e-08
3170.3173828125	3.021565879870606e-08
3180.0	3.8602278952447964e-08
3180.31982421875	3.887835473271222e-08
3190.0	3.68230424119206e-08
3190.322509765625	3.675563558716519e-08
3200.0	4.280314699448265e-08
3200.324951171875	4.3003512490143704e-08
3210.0	3.963674099945423e-08
3210.327392578125	3.952412067402419e-08
3220.0	4.501859995219265e-08
3220.330078125	4.5204673975477174e-08
3230.0	4.52589279717858e-08
3230.33251953125	4.5262118699625157e-08
3240.0	4.8514636321246514e-08
3240.3349609375	4.8625823830033705e-08
3250.0	4.5996224001374346e-08
3250.337646484375	4.5905860682153354e-08
3260.0	4.109327070451588e-08
3260.340087890625	4.092273832706582e-08
3270.0	4.866334721170168e-08
3270.342529296875	4.8938908088687324e-08
3280.0	4.001568320206369e-08
3280.34521484375	3.969567846917601e-08
3290.0	4.5830254122653556e-08
3290.34765625	4.605224834512676e-08
3300.0	4.2016367502814155e-08
3300.350341796875	4.1868667723982544e-08
3310.0	5.342674112124393e-08
3310.352783203125	5.385036683380299e-08
3320.0	3.858190965731807e-08
3320.355224609375	3.801882450408924e-08
3330.0	5.356033921249941e-08
3330.35791015625	5.4137947880346976e-08
3340.0	5.016398746960093e-08
3340.3603515625	5.001396177972229e-08
3350.0	6.014397621541584e-08
3350.363037109375	6.052686397142507e-08
3360.0	6.114242632701493e-08
3360.365478515625	6.116379239887949e-08
3370.0	6.773717949058496e-08
3370.3681640625	6.799022055024014e-08
3380.0	5.071394637696474e-08
3380.37060546875	5.0047958153785925e-08
3390.0	5.7001821787090837e-08
3390.373291015625	5.7272889086281556e-08
3400.0	4.999170543244125e-08
3400.375732421875	4.969643134845167e-08
3410.0	5.5333238659059964e-08
