# source: https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters 
# Wavelength(nm) Transmission(0-1)
548.1500244140625 0.0
549.1500244140625 0.0
550.1500244140625 1.081398928572681e-09
551.1500244140625 1.5960004599657738e-09
552.1500244140625 2.105128271996527e-09
553.1500244140625 2.762253996772213e-09
554.1500244140625 2.9452376830684307e-09
555.1500244140625 3.3116319422063715e-09
556.1500244140625 3.5220254875081085e-09
557.1500244140625 3.830845889350546e-09
558.1500244140625 3.1488072713468945e-09
559.1500244140625 1.880172330908026e-09
560.1500244140625 1.8334044856565849e-09
561.1500244140625 2.197265209058654e-09
562.1500244140625 2.1341362923685904e-09
563.1500244140625 2.226145586153438e-09
564.1500244140625 2.693316046838885e-09
565.1500244140625 3.6703825950760654e-09
566.1500244140625 5.223023689062754e-09
567.1500244140625 6.113208059395695e-09
568.1500244140625 8.03824411594165e-09
569.1500244140625 7.967209340498566e-09
570.1500244140625 9.678437091315822e-09
571.1500244140625 9.867799118172905e-09
572.1500244140625 1.1455847452538606e-08
573.1500244140625 1.0099250357000714e-08
574.1500244140625 9.430334357887155e-09
575.1500244140625 8.906223414042645e-09
576.1500244140625 1.0169507401405709e-08
577.1500244140625 1.1177047121439383e-08
578.1500244140625 1.126065984894609e-08
579.1500244140625 1.1698854670407671e-08
580.1500244140625 1.3676898661484565e-08
581.1500244140625 1.689504910180089e-08
582.1500244140625 1.9565242961811323e-08
583.1500244140625 2.2211587727895882e-08
584.1500244140625 2.3055585155126565e-08
585.1500244140625 2.3916951137951104e-08
586.1500244140625 2.458376004774401e-08
587.1500244140625 3.159672021344499e-08
588.1500244140625 3.783060800422253e-08
589.1500244140625 4.2776549900134506e-08
590.1500244140625 4.861966330206244e-08
591.1500244140625 5.32592007378282e-08
592.1500244140625 6.23156963350263e-08
593.1500244140625 6.757068148925421e-08
594.1500244140625 8.483614722736099e-08
595.1500244140625 9.707191359596042e-08
596.1500244140625 1.1518271302178742e-07
597.1500244140625 1.7659880738641507e-07
598.1500244140625 4.0521037265652834e-07
599.1500244140625 1.4055402155844066e-06
600.1500244140625 4.854666126417971e-06
601.1500244140625 1.8214577800116853e-05
602.1500244140625 8.83284101631451e-05
603.1500244140625 0.00037755123537055714
604.1500244140625 0.0015049815642955654
605.1500244140625 0.004971047765689447
606.1500244140625 0.012512793954448318
607.1500244140625 0.02495539226548405
608.1500244140625 0.0413201682716545
609.1500244140625 0.05895910632190664
610.1500244140625 0.07508953764438975
611.1500244140625 0.08798185273324208
612.1500244140625 0.09753977551166
613.1500244140625 0.10445818464014488
614.1500244140625 0.10994795876577404
615.1500244140625 0.11483963518041168
616.1500244140625 0.11978515260671817
617.1500244140625 0.12495629839970172
618.1500244140625 0.13012406254626285
619.1500244140625 0.13516720753267544
620.1500244140625 0.1400571876071194
621.1500244140625 0.1439953215669975
622.1500244140625 0.14700777617519553
623.1500244140625 0.14893744401346384
624.1500244140625 0.15126600645906577
625.1500244140625 0.1534609123248789
626.1500244140625 0.15497098816461582
627.1500244140625 0.1560740176008764
628.1500244140625 0.15681985783627345
629.1500244140625 0.15731442417926156
630.1500244140625 0.1574419663091059
631.1500244140625 0.15747127537939423
632.1500244140625 0.15791587402551593
633.1500244140625 0.15932077595412808
634.1500244140625 0.16173923948239993
635.1500244140625 0.16479851999118775
636.1500244140625 0.16795602206494917
637.1500244140625 0.17082894174846971
638.1500244140625 0.17310971452980983
639.1500244140625 0.174975296542567
640.1500244140625 0.1766549857270997
641.1500244140625 0.17848667309907987
642.1500244140625 0.1803116750387868
643.1500244140625 0.1820359698831399
644.1500244140625 0.18342442420348642
645.1500244140625 0.1843889745662916
646.1500244140625 0.18509722969458897
647.1500244140625 0.18593284756903913
648.1500244140625 0.18720554916115298
649.1500244140625 0.1888516952150038
650.1500244140625 0.1905199390409323
651.1500244140625 0.19205205143277965
652.1500244140625 0.19320259155303976
653.1500244140625 0.1937280991139539
654.1500244140625 0.1938384826268871
655.1500244140625 0.1936760331290286
656.1500244140625 0.1933758879451623
657.1500244140625 0.1929345846409926
658.1500244140625 0.19267474530103812
659.1500244140625 0.19288118619578917
660.1500244140625 0.19357105450187692
661.1500244140625 0.1948574547387513
662.1500244140625 0.1968549170786937
663.1500244140625 0.19948600685361706
664.1500244140625 0.20239739017986713
665.1500244140625 0.20524573747710256
666.1500244140625 0.20748712974126857
667.1500244140625 0.20873078276956067
668.1500244140625 0.20908939552294012
669.1500244140625 0.20908827414807843
670.1500244140625 0.20897197411311721
671.1500244140625 0.20866985702336915
672.1500244140625 0.2082156772337527
673.1500244140625 0.2079287449568936
674.1500244140625 0.2078429880742227
675.1500244140625 0.20796496208218973
676.1500244140625 0.2083962855357404
677.1500244140625 0.2091739667645444
678.1500244140625 0.21056381461400087
679.1500244140625 0.21248824606195654
680.1500244140625 0.2148642094680938
681.1500244140625 0.21732220457195234
682.1500244140625 0.2193540766827286
683.1500244140625 0.2208590817904114
684.1500244140625 0.22218810700843056
685.1500244140625 0.22341908489984866
686.1500244140625 0.22466731851656158
687.1500244140625 0.22592369483420685
688.1500244140625 0.22743717698154906
689.1500244140625 0.22917413263732006
690.1500244140625 0.23062691289896786
691.1500244140625 0.23110988464674045
692.1500244140625 0.23037953727491603
693.1500244140625 0.22820883885308277
694.1500244140625 0.22496032501450783
695.1500244140625 0.22159196609261855
696.1500244140625 0.21898042380811517
697.1500244140625 0.2181021458920499
698.1500244140625 0.21914957128708407
699.1500244140625 0.22212153862524525
700.1500244140625 0.22634959950244166
701.1500244140625 0.23108557371116473
702.1500244140625 0.23529586090974572
703.1500244140625 0.23849661219929535
704.1500244140625 0.24044648628372273
705.1500244140625 0.2416131698350857
706.1500244140625 0.2424930326945977
707.1500244140625 0.24359677210500474
708.1500244140625 0.24502361982047807
709.1500244140625 0.24664434534135532
710.1500244140625 0.24744900077111184
711.1500244140625 0.24692125045523505
