WAVELENGTH	THROUGHPUT
1989.3538818359375	0.0
1990.0	7.845291940168023e-09
1990.6463623046875	7.618957330046795e-09
2000.0	2.2748348160611426e-09
2000.648193359375	1.8892700875220202e-09
2010.0	6.376058675104829e-10
2010.64990234375	5.496023808523685e-10
2020.0	4.861969908526094e-11
2020.6517333984375	1.3296138655883672e-11
2030.0	1.3425434252475908e-11
2030.6534423828125	1.343526239115914e-11
2040.0	7.975658718704104e-10
2040.6552734375	8.531470706450005e-10
2050.0	4.108074794277237e-10
2050.656982421875	3.7941222715709267e-10
2060.0	3.828727701663231e-11
2060.658935546875	1.3915999167418121e-11
2070.0	2.02114441538603e-09
2070.660888671875	2.1648065993161245e-09
2080.0	2.5616198749253805e-09
2080.662841796875	2.5902356923676043e-09
2090.0	5.006892668487969e-09
2090.664794921875	5.181004250744721e-09
2100.0	5.96130307188862e-09
2100.666748046875	6.0262270505185886e-09
2110.0	3.300008444658724e-09
2110.668701171875	3.0978978437114106e-09
2120.0	1.0873649645337648e-08
2120.670654296875	1.1449692897175517e-08
2130.0	7.53408389384979e-09
2130.672607421875	7.242873989482551e-09
2140.0	7.522202159338156e-09
2140.674560546875	7.542617188912978e-09
2150.0	7.605792838759783e-09
2150.676513671875	7.610084927583774e-09
2160.0	5.723045776524691e-09
2160.6787109375	5.580724523492546e-09
2170.0	9.864365616812263e-09
2170.6806640625	1.018654310876783e-08
2180.0	8.180700474939304e-09
2180.682861328125	8.028854347475699e-09
2190.0	7.91377020417297e-09
2190.684814453125	7.904625927583064e-09
2200.0	1.55088792157961e-08
2200.68701171875	1.6087573340618528e-08
2210.0	1.6004111809251636e-08
2210.68896484375	1.5997785235671485e-08
2220.0	9.322877485368291e-09
2220.691162109375	8.811428477972774e-09
2230.0	8.970251001901916e-09
2230.693115234375	8.978608589880815e-09
2240.0	1.530152538165101e-08
2240.6953125	1.578358895905222e-08
2250.0	6.4600826613136564e-09
2250.697509765625	5.745296028513455e-09
2260.0	1.723817999009775e-08
2260.69970703125	1.812178292202254e-08
2270.0	1.4577928419946167e-08
2270.701904296875	1.4303747818195958e-08
2280.0	1.3096019938448594e-08
2280.7041015625	1.3001108771193824e-08
2290.0	1.3494438065959401e-08
2290.706298828125	1.353302670199991e-08
2300.0	1.6392361078957504e-08
2300.70849609375	1.6607522188127072e-08
2310.0	1.3237819473602871e-08
2310.71044921875	1.2976015613087893e-08
2320.0	1.7559244544505906e-08
2320.712890625	1.7914374750897968e-08
2330.0	1.6056959199629337e-08
2330.715087890625	1.591275440757135e-08
2340.0	1.9463449982606766e-08
2340.71728515625	1.9741086212153492e-08
2350.0	1.2995500786681653e-08
2350.719482421875	1.2465328509194898e-08
2360.0	1.2242509237486948e-08
2360.7216796875	1.222387871871447e-08
2370.0	9.178561401731593e-09
2370.723876953125	8.938536940095737e-09
2380.0	1.787448458942854e-08
2380.72607421875	1.8582541778202346e-08
2390.0	1.878685534671368e-08
2390.728515625	1.8801516305169877e-08
2400.0	1.8737173155890597e-08
2400.730712890625	1.871549487503516e-08
2410.0	1.7723704891804868e-08
2410.73291015625	1.7645211883244222e-08
2420.0	1.5956722899419208e-08
2420.735107421875	1.582279304976029e-08
2430.0	1.4468144676262233e-08
2430.737548828125	1.4357846797398589e-08
2440.0	1.9728856716324826e-08
2440.73974609375	2.015769602873096e-08
2450.0	2.1574971757603106e-08
2450.7421875	2.1688208057100783e-08
2460.0	2.0773836246267572e-08
2460.744384765625	2.069901685819137e-08
2470.0	1.537517901054629e-08
2470.74658203125	1.4948228072568306e-08
2480.0	1.604965030837419e-08
2480.7490234375	1.6138564402504557e-08
2490.0	2.6292323637298426e-08
2490.751220703125	2.7112855422728186e-08
2500.0	1.5008458821963937e-08
2500.753662109375	1.4022891899911901e-08
2510.0	1.758360532638917e-08
2510.756103515625	1.787299401173284e-08
2520.0	1.4171689244785318e-08
2520.75830078125	1.3868908459021266e-08
2530.0	1.6362162052899017e-08
2530.760498046875	1.656701918161513e-08
2540.0	2.377888368789227e-08
2540.762939453125	2.437069556107363e-08
2550.0	1.5176198021757375e-08
2550.765380859375	1.4417988986483576e-08
2560.0	7.54727345000297e-09
2560.767578125	6.9807235687994986e-09
2570.0	1.526153812584495e-08
2570.77001953125	1.5947825678812583e-08
2580.0	1.4113187774964309e-08
2580.7724609375	1.3959591187490373e-08
2590.0	2.2989683926415417e-08
2590.77490234375	2.3744113173498328e-08
2600.0	1.6337132897964094e-08
2600.777099609375	1.5711236913398435e-08
2610.0	1.3737199733107815e-08
2610.779541015625	1.3571118984937067e-08
2620.0	2.167004225463629e-08
2620.781982421875	2.23497653949289e-08
2630.0	1.748048475719114e-08
2630.7841796875	1.7071484695616997e-08
2640.0	2.0505483350534754e-08
2640.78662109375	2.0793543340455666e-08
2650.0	1.7755449511878296e-08
2650.7890625	1.7499523856439868e-08
2660.0	1.045056137572477e-08
2660.79150390625	9.851789156010219e-09
2670.0	1.754938521219234e-08
2670.793701171875	1.8203430445584374e-08
2680.0	1.7769035361451765e-08
2680.796142578125	1.7732994416972355e-08
2690.0	1.2584651330438722e-08
2690.798583984375	1.214325789323628e-08
2700.0	4.885793033958759e-09
2700.801025390625	4.26571309078986e-09
2710.0	7.073503699449652e-09
2710.803466796875	7.3189775094654405e-09
2720.0	1.0578814857061986e-08
2720.805908203125	1.0864386236593175e-08
2730.0	1.1634904976929541e-08
2730.808349609375	1.1701769334487251e-08
2740.0	1.5445149971423827e-08
2740.810791015625	1.5776110495412075e-08
2750.0	1.7775890027708643e-08
2750.81298828125	1.795143351847013e-08
2760.0	1.3089976708881596e-08
2760.815673828125	1.2659829166497902e-08
2770.0	1.5577192057221813e-08
2770.818115234375	1.5836975779220366e-08
2780.0	1.3575196002196172e-08
2780.8203125	1.3372199824575286e-08
2790.0	1.486406762203831e-08
2790.822998046875	1.499877412086891e-08
2800.0	1.1820124019751017e-08
2800.8251953125	1.1539217904627033e-08
2810.0	1.2295356219144006e-08
2810.827880859375	1.236297127986176e-08
2820.0	1.917078894678532e-08
2820.830078125	1.9790719005873695e-08
2830.0	1.750529538234159e-08
