# source: https://jwst-docs.stsci.edu/jwst-near-infrared-camera/nircam-instrumentation/nircam-filters 
# Wavelength(nm) Transmission(0-1)
1598.5000000000002 0.0
1599.5000000000002 0.0
1600.5 5.748864555424689e-07
1601.5 8.373044706765949e-07
1602.5 4.970186493065969e-07
1603.5 1.0846930267085565e-06
1604.5 2.140981894770083e-06
1605.5 4.140257115050583e-08
1606.5 1.0069043487105304e-06
1607.5 1.4642728628832634e-06
1608.5 3.218197609429665e-07
1609.5 1.445747289867894e-06
1610.5 1.4191245532907495e-06
1611.5 1.14138291859285e-06
1612.5 3.079569119557848e-06
1613.5 1.316628687418243e-06
1614.5 2.336287687567213e-06
1615.5 1.3450975061486944e-06
1616.5 2.6973659695071406e-06
1617.5 2.7051878464937704e-06
1618.5 2.738515411909048e-06
1619.5 1.2109732929127975e-06
1620.5 3.114883128105014e-06
1621.5 1.5125420695590688e-06
1622.5 3.4059034941625893e-06
1623.5 4.2585497172672844e-06
1624.5 4.014921919027173e-06
1625.5 5.7960032843747025e-06
1626.5 5.695408540572125e-06
1627.5 4.42244479908922e-06
1628.5 6.864377540234546e-06
1629.5 8.50698569324213e-06
1630.5 8.673472043146551e-06
1631.5 9.409576839171326e-06
1632.5 8.16707917048158e-06
1633.5 1.0652935503374262e-05
1634.5 9.769660635418573e-06
1635.5 1.2397232614895968e-05
1636.5 1.2788313691446185e-05
1637.5 1.3862211015928969e-05
1638.5 1.5821333305580364e-05
1639.5 1.6918927947016885e-05
1640.5 1.4973063852706746e-05
1641.5 1.9065045587361625e-05
1642.5 1.887735766794707e-05
1643.5 2.1704686802430575e-05
1644.5 2.2834440901160317e-05
1645.5 2.5593274566585665e-05
1646.5 2.6790333772638803e-05
1647.5 2.7714431630935898e-05
1648.5 2.7789091413373064e-05
1649.5 3.0395070436534612e-05
1650.5 3.14425835146456e-05
1651.5 3.435675474789341e-05
1652.5 3.7018969704467945e-05
1653.5 4.228909936658266e-05
1654.5 4.5899642779470725e-05
1655.5 4.507836775042635e-05
1656.5 4.9941194906766957e-05
1657.5 5.843488259963568e-05
1658.5 6.304184475047519e-05
1659.5 6.933969179835417e-05
1660.5 7.899043549661719e-05
1661.5 8.801526721061533e-05
1662.5 9.974341270622489e-05
1663.5 0.00011407481262448296
1664.5 0.000129660228247099
1665.5 0.0001504957249224908
1666.5 0.0001710395154489047
1667.5 0.0002029169223729025
1668.5 0.00023272058761922895
1669.5 0.0002676999583164471
1670.5 0.0003096751788447701
1671.5 0.0003539349476681097
1672.5 0.00040465007761556404
1673.5 0.00045983829122890136
1674.5 0.0005297274793951997
1675.5 0.0006083132078751729
1676.5 0.0006903531638093945
1677.5 0.0007769037815101591
1678.5 0.0008538153772877122
1679.5 0.000973511877807871
1680.5 0.0010920296847506319
1681.5 0.0012243119144764846
1682.5 0.001366916018872015
1683.5 0.0015107717677897998
1684.5 0.001680868908879001
1685.5 0.0018424941159809142
1686.5 0.0020620017985472075
1687.5 0.002264363406757532
1688.5 0.0024996546063558367
1689.5 0.0028384831999626555
1690.5 0.0031183281563010165
1691.5 0.0035210070758080283
1692.5 0.003924747504324085
1693.5 0.004465340255908007
1694.5 0.005133346714573504
1695.5 0.005756636220860524
1696.5 0.006714867601357994
1697.5 0.008034759754676157
1698.5 0.009502372865528378
1699.5 0.011521915652909614
1700.5 0.013445833751161193
1701.5 0.01633797121754295
1702.5 0.019876298841652706
1703.5 0.023604094027731986
1704.5 0.026575423835728716
1705.5 0.029192280946357705
1706.5 0.032496309178937144
1707.5 0.03573051599891234
1708.5 0.0402870869489185
1709.5 0.046204269799259116
1710.5 0.04974217614289693
1711.5 0.05847329824346176
1712.5 0.06530518776256783
1713.5 0.07716842955142011
1714.5 0.08724418517778641
1715.5 0.10538467979049868
1716.5 0.12374178703729427
1717.5 0.14685525392303903
1718.5 0.17597515678455178
1719.5 0.19669903281255657
1720.5 0.2303383645951336
1721.5 0.26272440708636413
1722.5 0.2975520675282773
1723.5 0.3251275671285871
1724.5 0.34373742974467175
1725.5 0.37073191261959765
1726.5 0.37993084344934974
1727.5 0.38621445842714086
1728.5 0.3963347201885194
1729.5 0.4027178271838654
1730.5 0.4023247147029064
1731.5 0.41904467610681984
1732.5 0.42222235191449675
1733.5 0.42889163754961807
1734.5 0.4373050577760123
1735.5 0.44556980307114374
1736.5 0.4548646516311364
1737.5 0.46900459081484625
1738.5 0.46941491313054695
1739.5 0.4777337471113623
1740.5 0.4865830897711145
1741.5 0.4863007571973126
1742.5 0.49887525653506964
1743.5 0.5034704506401557
1744.5 0.49574741152924345
1745.5 0.5061205658297705
1746.5 0.5039544296118832
1747.5 0.5016325637622133
1748.5 0.5012606902398682
1749.5 0.49390044293417235
1750.5 0.5156256383341986
1751.5 0.503022797761173
1752.5 0.5051293375578342
1753.5 0.5028842365739508
1754.5 0.5045392181584494
1755.5 0.5044085824687974
1756.5 0.5137140634378209
1757.5 0.5104226328064356
1758.5 0.5123593272184691
1759.5 0.5081967782499425
1760.5 0.5119556987091647
1761.5 0.516646176967242
1762.5 0.5155446296045186
1763.5 0.5145443138453952
1764.5 0.5063862558682967
1765.5 0.512336733466618
1766.5 0.5199661162089446
1767.5 0.5171662235130808
1768.5 0.5160781326050293
1769.5 0.5077944344880013
1770.5 0.5121456397835664
1771.5 0.5182716620588713
1772.5 0.5109134502357301
1773.5 0.5037799925100811
1774.5 0.5086627763206171
1775.5 0.5073372964663861
1776.5 0.5011970266769709
1777.5 0.5139202736710654
1778.5 0.4976356799125947
1779.5 0.5083971506852066
